ID,Name,SKU,Regular_price_SAR,Sale_price_SAR,Effective_price_SAR,Face_value_USD,Face_value_SAR,Markup_over_face_value_pct,Severity,Issues_found,Suggested_action
514,Razer Gold $50 (Global),GC-RZR-GLOBAL-50,235.0,,235.0,50.0,187.5,25.3,,,
515,Razer Gold $100 (Global),GC-RZR-GLOBAL-100,470.0,,470.0,100.0,375.0,25.3,,,
517,Roblox $10 (US),GC-RBX-US-10,40.0,,40.0,10.0,37.5,6.7,,,
518,Roblox $25 (US),GC-RBX-US-25,100.0,,100.0,25.0,93.75,6.7,,,
519,Roblox $50 (US),GC-RBX-US-50,201.0,,201.0,50.0,187.5,7.2,,,
520,Roblox $100 (US),GC-RBX-US-100,401.0,,401.0,100.0,375.0,6.9,,,
522,PUBG Mobile UC 60 UC (Global),GC-PBG-GLOBAL-60,5.0,,5.0,,,,HIGH,Suspicious 5 SAR — likely placeholder; verify against official publisher pricing,Compare with Codashop / Midasbuy official pricing
523,PUBG Mobile UC 325 UC (Global),GC-PBG-GLOBAL-325,13.0,,13.0,,,,,,
524,PUBG Mobile UC 660 UC (Global),GC-PBG-GLOBAL-660,26.0,,26.0,,,,,,
525,PUBG Mobile UC 1800 UC (Global),GC-PBG-GLOBAL-1800,72.0,,72.0,,,,,,
526,PUBG Mobile UC 3850 UC (Global),GC-PBG-GLOBAL-3850,154.0,,154.0,,,,,,
528,Free Fire Diamonds 100 Diamonds (Global),GC-FRF-GLOBAL-100,5.0,,5.0,,,,HIGH,Suspicious 5 SAR — likely placeholder; verify against official publisher pricing,Compare with Codashop / Midasbuy official pricing
529,Free Fire Diamonds 310 Diamonds (Global),GC-FRF-GLOBAL-310,12.0,,12.0,,,,,,
530,Free Fire Diamonds 1080 Diamonds (Global),GC-FRF-GLOBAL-1080,43.0,,43.0,,,,,,
531,Free Fire Diamonds 2200 Diamonds (Global),GC-FRF-GLOBAL-2200,88.0,,88.0,,,,,,
533,Mobile Legends Diamonds 86 Diamonds (Global),GC-MLB-GLOBAL-86,5.0,,5.0,,,,HIGH,Suspicious 5 SAR — likely placeholder; verify against official publisher pricing,Compare with Codashop / Midasbuy official pricing
534,Mobile Legends Diamonds 172 Diamonds (Global),GC-MLB-GLOBAL-172,7.0,,7.0,,,,,,
535,Mobile Legends Diamonds 706 Diamonds (Global),GC-MLB-GLOBAL-706,28.0,,28.0,,,,,,
536,Mobile Legends Diamonds 2195 Diamonds (Global),GC-MLB-GLOBAL-2195,88.0,,88.0,,,,,,
537,Apple iTunes / App Store $10 (US),GC-APL-US-10,40.0,,40.0,10.0,37.5,6.7,,,
538,Apple iTunes / App Store $25 (US),GC-APL-US-25,100.0,,100.0,25.0,93.75,6.7,,,
539,Apple iTunes / App Store $50 (US),GC-APL-US-50,201.0,,201.0,50.0,187.5,7.2,,,
540,Apple iTunes / App Store $100 (US),GC-APL-US-100,401.0,,401.0,100.0,375.0,6.9,,,
541,Apple iTunes / App Store $10 (KSA),GC-APL-KSA-10,40.0,,40.0,10.0,37.5,6.7,,,
542,Apple iTunes / App Store $25 (KSA),GC-APL-KSA-25,100.0,,100.0,25.0,93.75,6.7,,,
543,Apple iTunes / App Store $50 (KSA),GC-APL-KSA-50,201.0,,201.0,50.0,187.5,7.2,,,
544,Apple iTunes / App Store $100 (KSA),GC-APL-KSA-100,401.0,,401.0,100.0,375.0,6.9,,,
545,Google Play $10 (US),GC-GP-US-10,40.0,,40.0,10.0,37.5,6.7,,,
546,Google Play $25 (US),GC-GP-US-25,100.0,,100.0,25.0,93.75,6.7,,,
547,Google Play $50 (US),GC-GP-US-50,201.0,,201.0,50.0,187.5,7.2,,,
548,Google Play $100 (US),GC-GP-US-100,401.0,,401.0,100.0,375.0,6.9,,,
549,Google Play $10 (KSA),GC-GP-KSA-10,40.0,,40.0,10.0,37.5,6.7,,,
550,Google Play $25 (KSA),GC-GP-KSA-25,100.0,,100.0,25.0,93.75,6.7,,,
551,Google Play $50 (KSA),GC-GP-KSA-50,201.0,,201.0,50.0,187.5,7.2,,,
552,Google Play $100 (KSA),GC-GP-KSA-100,401.0,,401.0,100.0,375.0,6.9,,,
560,Spotify Premium $30 (Global),GC-SPF-GLOBAL-30,120.0,,120.0,30.0,112.5,6.7,,,
561,Spotify Premium $60 (Global),GC-SPF-GLOBAL-60,241.0,,241.0,60.0,225.0,7.1,,,
562,Spotify Premium $99 (Global),GC-SPF-GLOBAL-99,397.0,,397.0,99.0,371.25,6.9,,,
564,Disney+ $25 (US),GC-DSP-US-25,100.0,,100.0,25.0,93.75,6.7,,,
565,Disney+ $80 (US),GC-DSP-US-80,321.0,,321.0,80.0,300.0,7.0,,,
567,PlayStation Plus 1 Months (US),GC-PSP-US-1,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~32-40 SAR
568,PlayStation Plus 3 Months (US),GC-PSP-US-3,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~80-100 SAR
569,PlayStation Plus 12 Months (US),GC-PSP-US-12,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~250-320 SAR (official Sony KSA price ≈244 SAR + margin)
570,PlayStation Plus 1 Months (KSA),GC-PSP-KSA-1,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~32-40 SAR
571,PlayStation Plus 3 Months (KSA),GC-PSP-KSA-3,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~80-100 SAR
572,PlayStation Plus 12 Months (KSA),GC-PSP-KSA-12,5.0,,5.0,,,,CRITICAL,Placeholder 5 SAR — actual PS Plus prices are much higher,Set to ~250-320 SAR (official Sony KSA price ≈244 SAR + margin)
577,Ecovacs WINBOT W2 OMNI - Robotic Window Cleaner,SH-WIN-ECVX-001,2299.0,,2299.0,,,,,,
578,HOBOT-R3 - Window Cleaning Robot,SH-WIN-HBT-001,1599.0,,1599.0,,,,,,
579,Mammotion LUBA 2 AWD 5000H - Wireless Robotic Lawn Mower,SH-LWN-MAM-001,14999.0,,14999.0,,,,,,
580,Worx Landroid Vision M600 - Camera-Guided Robot Mower,SH-LWN-WRX-001,6999.0,,6999.0,,,,,,
581,Beatbot AquaSense Pro - Cordless Pool Cleaning Robot,SH-POL-BBT-001,7499.0,,7499.0,,,,,,
582,Maytronics Dolphin Premier - Robotic Pool Cleaner,SH-POL-DOL-001,5999.0,,5999.0,,,,,,
